generation,stra.1,stra.15,stra.71,stra.138,stra.195,stra.197,stra.229,stra.233,stra.237,stra.257
543500,0,0,0,0,0,0,2.46E-51,3.58E-46,1.43E-06,0.988294
543600,0,0,0,0,0,0,4.31E-89,5.53E-66,9.80E-07,0.988013
543700,0,0,0,0,0,0,7.97E-127,8.75E-86,6.82E-07,0.987934
543800,0,0,0,0,0,0,1.37E-164,1.36E-105,4.64E-07,0.987572
543900,0,0,0,0,0,0,2.66E-202,2.19E-125,3.26E-07,0.987019
544000,0,0,0,4.81E-26,0,0,5.39E-240,3.57E-145,2.32E-07,0.987224
544100,0,0,7.79E-22,3.04E-63,0,0,1.07E-277,5.79E-165,1.61E-07,0.988054
544200,0,0,2.74E-68,1.91E-100,0,0,2.31E-06,9.66E-185,1.17E-07,0.986416
544300,0,0,1.11E-114,1.26E-137,0,0,4.72E-44,1.58E-204,8.46E-08,0.986913
544400,0,0,4.05E-161,8.20E-175,0,0,9.69E-82,3.04E-11,6.20E-08,0.987915
544500,0,0,1.30E-207,5.41E-212,0,0,1.81E-119,4.88E-31,4.36E-08,0.987913
544600,0,0,3.58E-254,3.58E-249,1.33E-05,0,3.25E-157,7.89E-51,3.08E-08,0.98885
544700,0,0,1.00E-300,2.35E-286,4.23E-43,0,5.95E-195,1.28E-70,2.19E-08,0.987297
544800,0,0,0,1.4822e-323,1.55E-80,0,1.13E-232,2.04E-90,1.57E-08,0.985631
544900,0,0,0,0,6.47E-118,9.72E-211,2.35E-270,3.37E-110,0.000965518,0.984757
545000,0,0,0,0,3.34E-155,0,5.96E-308,5.79E-130,0.000716324,0.984348
545100,0,0,0,0,1.71E-192,0,0,9.67E-150,0.000526574,0.983818
545200,0,0,0,0,8.72E-230,0,0,1.57E-169,0.000379622,0.982968
545300,0,3.46E-32,0,0,4.29E-267,0,0,2.55E-189,0.000271845,0.983408
545400,0,3.89E-70,0,0,2.00E-304,0,0,4.09E-209,0.000194248,0.984094
545500,0,5.11E-108,0,0,0,0,0,6.43E-229,0.000140532,0.982846
545600,0,9.19E-21,1.66E-23,0,0,0,0,9.79E-249,1.00E-04,0.983468
545700,0,1.37E-58,1.88E-69,0,0,0,0,1.45E-268,6.98E-05,0.982935
545800,0,2.04E-96,2.14E-115,0,0,0,0,2.10E-288,4.79E-05,0.981806
545900,0,2.90E-134,2.24E-161,0,0,0,0,2.94E-308,3.22E-05,0.984166
546000,1.13E-57,3.76E-172,1.85E-207,0,0,0,0,4.94066e-324,2.18E-05,0.984923
546100,7.88E-252,5.27E-210,1.61E-253,0,0,0,0,4.94066e-324,0.000711563,0.985028
546200,0,7.22E-248,1.31E-299,3.72E-21,0,0,0,4.94066e-324,0.00048529,0.984714
546300,0,9.51E-286,0,2.91E-58,1.37E-33,0,0,4.94066e-324,0.000318579,0.984806
546400,0,1.4822e-323,0,2.37E-95,7.21E-71,0,0,4.94066e-324,0.000213129,0.983246
546500,0,0,0,2.02E-132,4.74E-108,0,0,4.94066e-324,0.000142163,0.979549
546600,0,0,0,1.74E-169,3.32E-145,0,0,4.94066e-324,9.13E-05,0.979532
546700,0,0,0,1.34E-206,1.99E-182,0,0,4.94066e-324,5.68E-05,0.982371
546800,0,0,0,9.88E-244,1.02E-219,0,0,4.94066e-324,3.59E-05,0.983205
546900,0,0,0,7.34E-281,5.11E-257,0,0,4.94066e-324,2.32E-05,0.98437
547000,0,0,0,5.44612e-318,2.62E-294,0,0,4.94066e-324,1.52E-05,0.984426
547100,0,0,0,1.07E-06,5.36E-22,0,0,4.94066e-324,1.00E-05,0.984448
547200,0,0,0,7.88E-44,2.63E-59,0,0,4.94066e-324,6.62E-06,0.984855
547300,0,0,0,5.99E-81,1.35E-96,0,0,4.94066e-324,4.40E-06,0.985145
547400,0,0,0,4.58E-118,6.91E-134,0,0,4.94066e-324,2.94E-06,0.985447
547500,3.20E-70,0,0,3.44E-155,3.24E-171,0,0,4.94066e-324,1.97E-06,0.986264
547600,4.21E-269,0,0,2.53E-192,1.43E-208,0,0,4.94066e-324,1.33E-06,0.983606
547700,0,0,0,1.95E-229,6.33E-246,0,0,4.94066e-324,8.87E-07,0.984223
547800,0,0,0,1.47E-266,2.97E-283,2.85E-157,0,4.94066e-324,5.75E-07,0.984296
547900,0,0,0,1.03E-303,1.29396e-320,0,0,4.94066e-324,3.84E-07,0.984451
548000,0,5.19E-17,0,0,0,0,0,4.94066e-324,2.51E-07,0.983929
548100,0,5.63E-55,0,0,0,0,0,4.94066e-324,1.69E-07,0.983834
548200,0,6.51E-93,0,0,0,0,0,4.94066e-324,1.10E-07,0.98366
548300,0,7.25E-131,0,0,0,0,0,1.08E-08,7.29E-08,0.983549
548400,0,0.00041704,0,0,0,0,0,1.54E-28,4.95E-08,0.984987
548500,0,4.67E-42,3.09E-46,0,0,0,0,2.18E-48,3.33E-08,0.983761
548600,0,5.42E-80,2.13E-92,0,0,0,0,2.97E-68,2.17E-08,0.984902
548700,0,5.91E-118,1.25E-138,0,0,0,0,4.21E-88,1.46E-08,0.986432
548800,0,6.23E-156,6.37E-185,0,0,0,0,6.22E-108,1.01E-08,0.987325
548900,0,5.50E-194,2.59E-231,0,0,0,0,9.05E-128,6.89E-09,0.986938
549000,0,4.73E-232,9.56E-278,0,0,0,0,1.37E-147,4.81E-09,0.988043
549100,0,4.00E-270,4.94066e-324,1.65E-14,0,1.73E-28,0,2.13E-167,0.000995745,0.987811
549200,0,4.04E-308,0,1.20E-51,0,2.84765e-319,0,3.30E-187,0.00069528,0.987939
549300,0,0,0,8.48E-89,0,0,0,5.19E-207,0.000488866,0.987225
549400,0,0,0,5.93E-126,0,0,0,7.95E-227,0.000341383,0.988638
549500,0,0,0,4.00E-163,0,0,0,1.22E-246,0.000234755,0.988361
549600,0,0,0,2.65E-200,0,0,0,1.92E-266,0.000165939,0.989264
549700,0,0,0,1.72E-237,0,0,0,3.07E-286,0.000118275,0.989722
549800,0,0,0,1.14E-274,1.08E-24,0,0,4.96E-306,8.42E-05,0.988332
549900,0,0,7.07E-45,7.2476e-312,4.39E-62,0,0,4.94066e-324,5.91E-05,0.986332
550000,0,0,3.98E-91,0,1.82E-99,0,0,4.94066e-324,4.08E-05,0.986611
550100,0,0,1.60E-137,0,6.70E-137,0,0,4.94066e-324,2.80E-05,0.987866
550200,0,0,6.71E-184,0,2.50E-174,0,0,4.94066e-324,1.95E-05,0.988171
550300,0,0,2.41E-230,0,3.21E-08,0,0,4.94066e-324,1.32E-05,0.986602
550400,0,0,7.97E-277,0,1.16E-45,0,0,4.94066e-324,8.94E-06,0.985864
550500,0,0,3.45846e-323,0,8.42E-32,0,0,8.86E-19,6.23E-06,0.985864
550600,0,0,0,0,3.05E-69,0,0,1.43E-38,4.46E-06,0.986826
550700,0,0,0,0,1.18E-106,0,0,2.22E-58,3.08E-06,0.986312
550800,0,0,0,0,4.24E-144,0,0,3.55E-78,2.16E-06,0.987496
550900,0,0,0,0,1.46E-181,0,0,5.83E-98,1.55E-06,0.988258
551000,0,0,0,0,4.83E-219,0,0,9.71E-118,1.12E-06,0.988858
551100,0,0,0,0,1.68E-256,0,0,1.62E-137,8.20E-07,0.988222
551200,0,0,0,0,5.80E-294,0,0,2.70E-157,6.02E-07,0.988542
551300,0,0,0,0,0,0,0,4.38E-177,4.37E-07,0.987923
