generation,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
81,6.85E-202,0,4.41E-112,8.42E-107,0,0,1.45E-54,0,0,4.14E-53,1.36E-45,1.76E-09,7.96E-39,8.40E-06,5.63E-12,0,0.999991603
82,2.56E-207,0,2.80E-114,1.11E-108,0,0,1.96E-55,0,0,5.60E-54,1.87E-46,6.82E-10,2.05E-39,8.36E-06,5.63E-12,0,0.999991637
83,9.56E-213,0,1.78E-116,1.47E-110,0,0,2.66E-56,0,0,7.58E-55,2.59E-47,2.65E-10,5.26E-40,8.33E-06,5.64E-12,0,0.99999167
84,3.55E-218,0,1.13E-118,1.95E-112,0,0,3.59E-57,0,0,1.03E-55,3.58E-48,1.03E-10,1.35E-40,8.30E-06,5.64E-12,0,0.999991703
85,1.31E-223,0,7.18E-121,2.58E-114,0,0,4.85E-58,0,0,1.39E-56,4.94E-49,3.99E-11,3.48E-41,8.26E-06,5.65E-12,0,0.999991736
86,4.82E-229,0,4.56E-123,3.41E-116,0,0,6.56E-59,0,0,1.88E-57,6.83E-50,1.55E-11,8.94E-42,8.23E-06,5.65E-12,0,0.999991769
87,1.76E-234,0,2.90E-125,4.51E-118,0,0,8.87E-60,0,0,2.54E-58,9.43E-51,6.00E-12,2.30E-42,8.20E-06,5.66E-12,0,0.999991801
88,6.42E-240,0,1.84E-127,5.96E-120,0,0,1.20E-60,0,0,3.44E-59,1.30E-51,2.33E-12,5.91E-43,8.17E-06,5.66E-12,0,0.999991834
89,2.33E-245,0,1.17E-129,7.88E-122,0,0,1.62E-61,0,0,4.66E-60,1.80E-52,9.04E-13,1.52E-43,8.13E-06,5.67E-12,0,0.999991866
90,8.41E-251,0,7.43E-132,1.04E-123,0,0,2.19E-62,0,0,6.30E-61,2.49E-53,3.51E-13,3.91E-44,8.10E-06,5.67E-12,0,0.999991898
91,3.02E-256,0,4.72E-134,1.38E-125,0,0,2.96E-63,0,0,8.53E-62,3.44E-54,1.36E-13,1.00E-44,8.07E-06,5.68E-12,0,0.99999193
92,1.08E-261,0,3.00E-136,1.82E-127,0,0,4.00E-64,0,0,1.15E-62,4.75E-55,5.29E-14,2.58E-45,8.04E-06,5.68E-12,0,0.999991962
93,3.85E-267,0,1.90E-138,2.41E-129,0,0,5.41E-65,0,0,1.56E-63,6.56E-56,2.05E-14,6.64E-46,8.01E-06,5.69E-12,0,0.999991993
94,1.36E-272,0,1.21E-140,3.19E-131,0,0,7.31E-66,0,0,2.11E-64,9.07E-57,7.96E-15,1.71E-46,7.97E-06,5.69E-12,0,0.999992025
95,4.81E-278,0,7.68E-143,4.22E-133,0,0,9.89E-67,0,0,2.86E-65,1.25E-57,3.09E-15,4.39E-47,7.94E-06,5.70E-12,0,0.999992056
96,1.69E-283,0,4.88E-145,5.58E-135,0,0,1.34E-67,0,0,3.87E-66,1.73E-58,1.20E-15,1.13E-47,7.91E-06,5.70E-12,0,0.999992088
97,5.91E-289,0,3.10E-147,7.38E-137,0,0,1.81E-68,0,0,5.24E-67,2.39E-59,4.66E-16,2.90E-48,7.88E-06,5.71E-12,0,0.999992119
98,2.06E-294,0,1.97E-149,9.76E-139,0,0,2.44E-69,0,0,7.09E-68,3.30E-60,1.81E-16,7.45E-49,7.85E-06,5.71E-12,0,0.99999215
99,7.12E-300,0,1.25E-151,1.29E-140,0,0,3.30E-70,0,0,9.60E-69,4.56E-61,7.01E-17,1.92E-49,7.82E-06,5.72E-12,0,0.999992181
100,2.46E-305,0,7.93E-154,1.71E-142,0,0,4.46E-71,0,0,1.30E-69,6.31E-62,2.72E-17,4.92E-50,7.79E-06,5.72E-12,0,0.999992212
101,8.4300671735E-311,0,5.04E-156,2.26E-144,0,0,6.03E-72,0,0,1.76E-70,8.71E-63,1.06E-17,1.27E-50,7.76E-06,5.73E-12,0,0.999992243
102,2.87976325E-316,0,3.20E-158,2.99E-146,0,0,8.15E-73,0,0,2.38E-71,1.20E-63,4.10E-18,3.25E-51,7.73E-06,5.73E-12,0,0.999992273
103,9.8E-322,0,2.03E-160,3.95E-148,0,0,1.10E-73,0,0,3.22E-72,1.66E-64,1.59E-18,8.37E-52,7.70E-06,5.74E-12,0,0.999992304
104,0,0,1.29E-162,5.22E-150,0,0,1.49E-74,0,0,4.36E-73,2.30E-65,6.18E-19,2.15E-52,7.67E-06,5.75E-12,0,0.999992334
105,0,0,8.20E-165,6.91E-152,0,0,2.01E-75,0,0,5.89E-74,3.18E-66,2.40E-19,5.53E-53,7.64E-06,5.75E-12,0,0.999992364
106,0,0,5.21E-167,9.13E-154,0,0,2.72E-76,0,0,7.98E-75,4.39E-67,9.30E-20,1.42E-53,7.61E-06,5.76E-12,0,0.999992395
107,0,0,3.31E-169,1.21E-155,0,0,3.68E-77,0,0,1.08E-75,6.06E-68,3.61E-20,3.65E-54,7.58E-06,5.76E-12,0,0.999992425
108,0,0,2.10E-171,1.60E-157,0,0,4.97E-78,0,0,1.46E-76,8.38E-69,1.40E-20,9.39E-55,7.55E-06,5.77E-12,0,0.999992454
